Video 1:
<685.0 second> 我告诉你为什么没有浪费你的时间
<687.0 second> 听好了同学们看着我
<689.0 second> 首段各段首句以及尾段再重说
<692.0 second> 首段各段首句以及尾段
<694.0 second> 至少再出3道题
<696.0 second> 基本上都在这个位置你试试同学们
<697.0 second> 首段尾段是一定要出题的
<699.0 second> 各段的首句一定会出一道题
<702.0 second> 就当做提前定位了
<705.0 second> 他说那做第5题
<706.0 second> 他说那个1970年的那
<708.0 second> 一项研究表明了什么
<709.0 second> 哎不是第二段的第一句话吗
<712.0 second> 就当做提前定位了
<714.0 second> 我也没浪费你的时间
<716.0 second> 对中心没读懂
<718.0 second> 中心词也没找到
<719.0 second> 那就直接读选项
<720.0 second> 读完选项回头定位就行了
<722.0 second> 但是定位的速度会很快为什么
<724.0 second> 因为我们的首段各段
<726.0 second> 首句以及尾段特别爱出题
<727.0 second> 看着我的脸
<729.0 second> 有考研的学生吗
<730.0 second> 今天来慢慢说慢慢说
<733.0 second> 咱们记住哈
<734.0 second> 考研的阅读理解总共20道题
<738.0 second> 考研的阅读理解总共20道题
<739.0 second> 至少得有12道题至少得有12道
<743.0 second> 题定位在一篇文章的首段
<746.0 second> 各段的首尾句以及尾段
<749.0 second> 至少12道
<750.0 second> 至少首段
<752.0 second> 各段的首尾句以及尾段
<757.0 second> 嗯
<758.0 second> 啊也没浪费
<759.0 second> 那就是什么都没读懂
<760.0 second> 就是我自己按照我的方法来定位
<762.0 second> 就定位的稍微快一点
<763.0 second> 没有浪费太多时间是是
<767.0 second> 好阅读理解说完了
<769.0 second> 但是非常
<771.0 second> 不好的就是我今天没有
<772.0 second> 拿一篇文章来给你验证
<774.0 second> 没法验证的可好不好
<776.0 second> 后期听我们讲保名篇
<777.0 second> 后期听我们讲保名篇
<779.0 second> 一定要听我讲保名篇
<781.0 second> 因为保名篇我会给大家讲3-4篇文章
<784.0 second> 告诉你该怎么读
<785.0 second> 中心没读懂的
<786.0 second> 对我们会举例子
<787.0 second> 中心读懂的怎么做
<789.0 second> 读懂万一选项没
<790.0 second> 又没读懂怎么做
<791.0 second> 对选项对万一中心
<793.0 second> 只找中心词怎么来做
<795.0 second> 万一中心词也没找到
<796.0 second> 中心也没读懂
<797.0 second> 你会怎么做
<798.0 second> 我们会用实际的文章来给你验证
<800.0 second> 今天没法验证同学们
<802.0 second> 因为这个
<803.0 second> 这个就没法验证同学们好不好
<805.0 second> 传统阅读记住同学们
<807.0 second> 知道中心在做题
<808.0 second> 会节约你很多的活
<811.0 second> 哎要不你定位的头都晕的
<812.0 second> 我跟你说同学们
<813.0 second> 好吧好吧
<815.0 second> 传统阅读就说这么多
<816.0 second> 长篇阅读我就说一个东西
<819.0 second> 长篇阅读我只为大家说一句话
<821.0 second> 就是你猜是什么
<823.0 second> 学会放弃
<825.0 second> 啊不是放弃所有的长
<826.0 second> 啊不是放弃所有的长篇阅读
<829.0 second> 长篇阅读要学会放弃
<831.0 second> 个别定位不到的选项
<833.0 second> 同学们你记住
<834.0 second> 15分钟做长篇阅读
<839.0 second> 你只要能15分钟能做对7道题到8道题
<842.0 second> 你就是咱们全国的王者了
<844.0 second> 你就别自己神经病
<845.0 second> 非得做对10道题
<847.0 second> 第二题找不到找不到在哪
<848.0 second> 以及的放弃
<851.0 second> 一道题只要找的超过一分钟多一点点
<855.0 second> 就你心里会有感觉的
<856.0 second> 就是这道题估计没戏了
<858.0 second> 过
<859.0 second> 立即下一道记住
<861.0 second> 我们15分钟的目标就是做对7道到8道题
<866.0 second> 要学会放弃
<867.0 second> 我告诉你
<868.0 second> 长篇阅读考察你什么能力呀
<870.0 second> 咱们国家说的你都没看见
<872.0 second> 出题人明确说长篇阅读
<874.0 second> 考察你快速定位答案的能力
<877.0 second> 他不想让你都找到
<879.0 second> 并且你的成绩是在
<880.0 second> 全国大学生当中的排名
<882.0 second> 老师就想知道15分钟你能找到几道题
<885.0 second> 他没想让你都找对
<887.0 second> 你个缺心眼为什么非想找到每道题
<890.0 second> 我考公务员
<892.0 second> 公务员是两个小时做做做做100道题吧
<898.0 second> 我给忘了同学们
<899.0 second> 这就这20年前的事了
<902.0 second> 我从来都觉得两个小时做不了120道题
<906.0 second> 一分钟做一道题
<908.0 second> 咋可能嘛
<909.0 second> 那狗围着主人跑
<911.0 second> 甩狗的速度给你
<912.0 second> 主人的速度给你告诉你
<913.0 second> 问狗在30分钟之内总共跑了多久
<916.0 second> 那不咋的也得一分半钟
<918.0 second> 两分钟计算呀
<919.0 second> 那那怎么可能计算出来呢
<920.0 second> 那那那么短的时间
<923.0 second> 我考了公务员我都知道了
<925.0 second> 其实老师根本都没想让你在
<927.0 second> 两个小时之内把题目都做完
<929.0 second> 老师就想考察你在两个小时之
<932.0 second> 内能把这120道题做对多少道题
<936.0 second> 他从来没想让任何人都做对答案
<939.0 second> 是你慢慢的在那看呗
<942.0 second> 好说完了
<943.0 second> 学会放弃
<944.0 second> 定位的时候我就不说了
<947.0 second> 定位的时候它跟传统阅读是一样的
<949.0 second> 拿名词来定位
<951.0 second> 拿专有名词来定位
<953.0 second> 时间地点是最好的定位点
<957.0 second> 时间地点数字是最好的定位点
<960.0 second> 一般一篇文章会有
<961.0 second> 两道比较简单的时间
<964.0 second> 比如50%的学生喜欢刘晓艳
<966.0 second> 他会有个fifty percent
<969.0 second> 但你不一定能够找到fifty percent
<971.0 second> 你可能会找到half of the students
<973.0 second> 一半的学生
<974.0 second> 对他是含数字
<975.0 second> 你也找数字
<977.0 second> 比如他会说呃1870中叶
<981.0 second> 你找不到1870中叶
<983.0 second> 但你会找到1875年
<985.0 second> 对时间数字最好定位
<988.0 second> 时间数字地点机构的名字最好定位
<993.0 second> 如果没有
<994.0 second> 普通名词和动词来定位
<1001.0 second> 普通名词和动词也不好找刘老师啊
<1003.0 second> 普通名词是这篇的中心词Internet
<1005.0 second> 一篇文章全是Internet定去吧
<1008.0 second> 形容词的比较级和最高级来定位
<1011.0 second> 看着我
<1012.0 second> 再重再重再重品牌
<1014.0 second> 你可能还没记好啊
<1015.0 second> 一拿专有名字来定位
<1017.0 second> 时间地点人名地名国名
<1021.0 second> 专有名词定位是最好的
<1023.0 second> 一般一篇文章会有一到两道题一定有
<1027.0 second> 不多二
<1028.0 second> 拿普通名词来定位和动词
<1031.0 second> 对普通名词和动词是第二个定位点
<1034.0 second> 普通名词是中心词
<1036.0 second> 三拿形容词的比较级和最高级来定位
<1040.0 second> 记笔记铁们
<1041.0 second> 三形容词和副词的比较级和最高级
<1045.0 second> 什么意思看着啊
<1047.0 second> 只要这个选项里边有个形容词比较级
<1050.0 second> 即使形容词被替换
<1053.0 second> 你在文章里边也得找到比较级
<1055.0 second> 比如刘晓艳比我漂亮
<1058.0 second> 刘晓艳 is more beautiful than i
<1061.0 second> more beautiful
<1062.0 second> 全是more beautiful
<1064.0 second> 你心里要明白
<1065.0 second> beautiful很可能被替换记住
<1067.0 second> 形容词副词很容易被替换
<1070.0 second> 所以形容词副词不是定位点
<1072.0 second> 但是比较级是
<1073.0 second> 你就找个比较级呗
<1075.0 second> 它more beautiful
<1077.0 second> 读这这这找到了一个比较级刘老师
<1079.0 second> 是more elegant
<1080.0 second> 读more elegant
<1081.0 second> elegant不优雅的吗
<1082.0 second> 不也可以是美丽的呀
<1084.0 second> 对找比较级
<1085.0 second> 最高级找最高级
<1087.0 second> 刘晓艳 is the the most beautiful the most beautiful
<1091.0 second> 啊行行行行快找找
<1092.0 second> 就找最高级
<1095.0 second> 其他都不能拿来定位
<1097.0 second> 就这仨
<1099.0 second> 所以当你做到用其他来定位的时候
<1101.0 second> 找到都很痛苦了
<1102.0 second> 记住能做对7道到8道
<1105.0 second> 在考场上都欢呼喝彩我好棒
<1107.0 second> 做对7道了
<1109.0 second> 再冲一道
<1110.0 second> 冲不对做对7道也很好
<1112.0 second> 千万不要想做对10道
<1114.0 second> 那不是给你做对10道的题
<1117.0 second> 好说完了
<1119.0 second> 选词填空说两句
<1121.0 second> 选词填空没有做题方法
<1124.0 second> 刘老师你故意的你故意的
<1126.0 second> 我有神经病我故意的
<1127.0 second> 选词填空也不值钱
<1129.0 second> 一道题才0.5分
<1130.0 second> 你把10道题都做对才5分
<1132.0 second> 就100分才5分
<1134.0 second> 所以选词填空放到最后一道题做
<1136.0 second> 有时间就做
<1137.0 second> 没时间不做
<1138.0 second> 能做对几道做对几道
<1140.0 second> 做不对认栽
<1143.0 second> 看着我但是我告诉你
<1145.0 second> 英语好的同学
<1146.0 second> 选词填空应该可以做对至少8道题的
<1148.0 second> 为什么因为选词填空才是
<1151.0 second> 四六级最核心最简单的单词
<1155.0 second> 再重说
<1157.0 second> 考察你单词的识别能力
<1160.0 second> 但是选词填空的单词一定是
<1163.0 second> 四六级最基础最核心单词
<1165.0 second> 就它单词一定不难
<1169.0 second> 那为什么我很多不认识
<1170.0 second> 别生气那你的基础不好
<1173.0 second> 只要基础中等偏上的同学
<1175.0 second> 选择填空单词15个单词
<1177.0 second> 至少得认识12-13个的
<1179.0 second> 说的还行吗同学们
<1181.0 second> 选择填空单词很简单的同学
<1183.0 second> 就像考研完型也是考研
<1185.0 second> 题目里边最简单的单词
<1186.0 second> 都在完型填空里面
<1188.0 second> 你留意一下中高考
<1190.0 second> 中高考的完型填空单词也一定跟
<1192.0 second> 阅读阅读比起来也是最简单的
<1195.0 second> 好吧所以选词填空我都不讲了
<1197.0 second> 只要单词认识
<1199.0 second> 几乎没有做不对的题
<1201.0 second> 选词填空只要做不对都因为单词
<1204.0 second> 好划二五
<1205.0 second> 你讲的听懂了吗
<1206.0 second> 那我回家的作业是什么
<1208.0 second> 回家的作业是记笔记
<1210.0 second> 阅读理解的作业
<1211.0 second> 快记笔记
<1212.0 second> 30天干什么事快记
<1214.0 second> 你有12套真题对吗
<1217.0 second> 长篇阅读
<1218.0 second> 传统阅读
<1219.0 second> 选择填空
<1220.0 second> 你有12套真题对不对
<1222.0 second> 好来开始写了啊
<1224.0 second> 拿到真题以后干什么事记笔记
<1228.0 second> 建议每天做一篇到两篇
<1231.0 second> 好再说一遍哈
<1233.0 second> 长篇阅读选择填空
<1235.0 second> 传统阅读都称为阅读
<1237.0 second> 这仨同学
<1238.0 second> 你做谁都行同学好不好
<1240.0 second> 建议一天
<1242.0 second> 做一篇到两篇怎么做
<1244.0 second> 就按照我刚才所说的方法来做呀
<1248.0 second> 所以咱们今天没有现场上课
<1250.0 second> 他没法给你用真题来验证
<1252.0 second> 你自己做吧
<1253.0 second> 第一步是按照刚才
<1255.0 second> 刘老师说的方法先做一遍啊
<1257.0 second> 做完一遍以后第二步是
<1259.0 second> 如实改对错
<1260.0 second> 今天上午做了一篇传统阅读
<1261.0 second> 下午做了一篇选择填空做完了
<1264.0 second> 第二步是核实对错
<1266.0 second> 一定要看一下你对是怎么做对的
<1268.0 second> 你做错是为什么做错的
<1270.0 second> 是因为个bated我不认识刘老师
<1272.0 second> 好记下来把它记到小本本上
<1273.0 second> 个bated个bated个bated抛弃扔弃
<1276.0 second> 好第一步
<1277.0 second> 用我们说的方法好好
<1279.0 second> 的把握住时间做一遍
<1281.0 second> 第二步核实对错
<1282.0 second> 第三步是记笔记
<1284.0 second> 第三步是第三步
<1289.0 second> 精读全文
<1291.0 second> 啊那不用啊
<1292.0 second> 第三步对的第三步
<1293.0 second> 就是精读全文
<1294.0 second> 把这篇文章从头到尾全部精读掉
<1297.0 second> 一句句的读
<1299.0 second> 读到生单词不认识
<1301.0 second> 查出来写个单词的旁边
<1303.0 second> 第三步是精读全文
<1305.0 second> 有单词不认识的
<1307.0 second> 查出来写个单词的旁边
<1309.0 second> 第四步是
<1311.0 second> 背
<1313.0 second> 在真题的文章的句子里面背这些单词
<1320.0 second> 有我四六级单词书的同学
<1323.0 second> 知道我的四级单词
<1324.0 second> 对我的书都是配课同学们
<1327.0 second> 四级单词书叫做英语
<1329.0 second> 四级你还在背单词吗
<1331.0 second> 六级叫做你还在背六级单词吗
<1334.0 second> 如果有我单词书的同学
<1335.0 second> 我告诉你
<1336.0 second> 单词书是干嘛的
<1338.0 second> 你就每天早晨听半个小时
<1340.0 second> 也就既然我们用一个月来过四六级了
<1343.0 second> 这一个月是真的得好好学了同学
<1345.0 second> 好不好对
<1346.0 second> 上午听半个小时
<1348.0 second> 下午听半个小时
<1349.0 second> 晚上临睡觉之前你花一个
<1350.0 second> 小时听单词再复盘一下呀
<1353.0 second> 好不好单词书只能是单独的听
<1357.0 second> 但是我们还要在真题里面背单词
<1359.0 second> 你会发现真题里面单词跟
<1361.0 second> 我讲单词一模一样的是好不好
<1363.0 second> 第四步第四步背单词
<1366.0 second> 但是如果你自己背得比较慢
<1368.0 second> 背诵比较困难的同学
<1369.0 second> 我还是建议买我这本书好不好
<1371.0 second> 英语四级你还在背单词吗
<1375.0 second> 6你还在背6级单词吗
<1377.0 second> 都是全程配课的
<1379.0 second> 好说完了
<1381.0 second> 再说一遍刘老师
<1383.0 second> 传统阅读
<1384.0 second> 长篇阅读分成四步走
<1386.0 second> 第一步做一遍
<1388.0 second> 第二步核实对错第三步
<1390.0 second> 精读全文
<1391.0 second> 第四步在文章的句子里面背单词
<1394.0 second> 上午下午单独听我讲单词
<1397.0 second> 晚上晚上就一件事
<1400.0 second> 再把单词复盘一遍呀
<1402.0 second> 所以这一个月你要集中的学习呀同学
<1404.0 second> 考过咱们没问题吧
<1406.0 second> 好阅读说完了
<1408.0 second> 写作
<1410.0 second> 和翻译他们翻译我今天没打算讲
<1412.0 second> 后面的照片是铁锤和悠悠吗
<1414.0 second> 是哈哈哈
<1416.0 second> 是是是是是
<1418.0 second> 不说了赶紧赶紧清课干嘛啊
<1422.0 second> 呃写作我就说一点点
<1424.0 second> 因为写作咱们保命班会讲得非常细
<1428.0 second> 是吧你如果你也不差那
<1430.0 second> 三四十块钱就买个保命班
<1432.0 second> 如果你不想买
<1433.0 second> 听他们讲盗版
<1434.0 second> 但是盗版的出来的肯定要晚很多
<1437.0 second> 不是有吗
<1438.0 second> 对你就听我讲听我讲
<1440.0 second> 今天我就给大家写作讲一个东西
<1442.0 second> 你告诉我你写作最大的问题在于什么
<1445.0 second> 对我就讲这个东西
<1447.0 second> 哎呀不管四级六级作文
<1449.0 second> 就一篇作文写出来
<1451.0 second> 你最大的问题在于什么
<1453.0 second> 是单词不会写
<1455.0 second> 是语法总写错
<1457.0 second> 是单词不会写
<1459.0 second> 是语法总写错
<1460.0 second> 还是文章中文都写不来
<1463.0 second> 想不到为什么
<1465.0 second> 语法这个同学说语法
<1466.0 second> 还有翻译
<1468.0 second> 火柴同学等我一会不着急不会编
<1471.0 second> 好字数不够好嘞
<1473.0 second> 今天我就讲两个东西
<1474.0 second> 第一个是单词不会写
<1476.0 second> 语法写错怎么办
<1478.0 second> 我第二个讲的是
<1479.0 second> 你要高级
<1480.0 second> 就必须听保命班的课吧同学们好不好
<1483.0 second> 因为保命班的时候我们会讲得很细
<1485.0 second> 今天不是让你报保命班
<1487.0 second> 是因为我这没法讲
<1489.0 second> 高级的要讲句型的
<1490.0 second> 虚拟语气
<1491.0 second> 倒装我给你讲出来
